#use_strict_skill_naming = False
#downtime_windows = ((21,30), (35,40))
Time,skill_name,job_class,skill_conditional,targets
6.3,Chain Stratagem,SCH,,"Boss1"
0,Onslaught,,,"Boss1"
0.65,Overpower,,,"Boss1, Boss2, Boss3"
1.3,Infuriate,,,
3.15,Mythril Tempest,,,"Boss1, Boss2, Boss3"
3.8,Inner Release,,,
5.65,Chaotic Cyclone,,,"Boss1, Boss2, Boss3"
6.3,Orogeny,,,"Boss1, Boss2"
6.95,Onslaught,,,
8.15,Primal Rend,,,"Boss2, Boss1, Boss3"
9.45,Onslaught,,,"Boss2"
10.65,Primal Ruination,,,"Boss2, Boss1, Boss3"
11.95,Onslaught,,,"Boss2"
13.15,Decimate,,,"Boss2, Boss1, Boss3"
15.65,Decimate,,,"Boss2, Boss1, Boss3"
18.15,Decimate,,,"Boss2, Boss1, Boss3"
18.8,Primal Wrath,,,"Boss2, Boss1, Boss3"
19.45,Infuriate,,,
20.65,Chaotic Cyclone,,,"Boss2, Boss1, Boss3"
31.1,Overpower,,,"Boss1, Boss2, Boss3"
41.1,Mythril Tempest,,,"Boss1, Boss2, Boss3"
